,type,product,date,description,amount,balance
649,Transfer,Current,2025-07-23 23:11:23,Revolut Bank UAB Vilnius Sucursala București,-10.0,78.93
650,Transfer,Current,2025-07-23 23:11:34,Revolut Bank UAB Vilnius Sucursala București,-10.0,68.93
651,Transfer,Current,2025-07-24 01:23:50,Revolut Bank UAB Vilnius Sucursala București,4.0,72.93
652,Transfer,Current,2025-07-24 01:24:40,Revolut Bank UAB Vilnius Sucursala București,8.0,80.93
653,Transfer,Current,2025-07-24 01:58:28,Revolut Bank UAB Vilnius Sucursala București,4.4,85.33
654,Topup,Current,2025-07-24 02:51:39,Apple Pay top-up by *1781,70.0,155.33
655,Transfer,Current,2025-07-24 02:51:55,Revolut Bank UAB Vilnius Sucursala București,-70.0,85.33
656,Card Payment,Current,2025-07-23 15:17:25,Curcubeului Market,-31.0,54.33
657,Card Payment,Current,2025-07-23 20:15:11,Mega Image,-28.79,25.54
658,Card Payment,Current,2025-07-23 20:52:36,Mega Image,-3.79,21.75
659,Card Payment,Current,2025-07-24 02:54:46,Bolt,-13.6,8.15
660,Transfer,Current,2025-07-24 08:34:38,Revolut Bank UAB Vilnius Sucursala București,31.82,39.97
661,Transfer,Current,2025-07-25 15:12:10,Revolut Bank UAB Vilnius Sucursala București,108.0,147.97
662,Transfer,Current,2025-07-25 16:54:42,Revolut Bank UAB Vilnius Sucursala București,-60.0,87.97
663,Transfer,Current,2025-07-25 22:35:27,Revolut Bank UAB Vilnius Sucursala București,10.0,97.97
664,Transfer,Current,2025-07-25 23:02:48,Revolut Bank UAB Vilnius Sucursala București,15.0,112.97
665,Transfer,Current,2025-07-25 23:03:12,Revolut Bank UAB Vilnius Sucursala București,-32.3,80.67
666,Card Payment,Current,2025-07-25 22:35:53,Uber,-10.21,70.46
667,Topup,Current,2025-07-26 12:12:39,Apple Pay top-up by *1781,100.0,170.46
668,Transfer,Current,2025-07-26 12:13:01,Revolut Bank UAB Vilnius Sucursala București,-37.0,133.46
669,Transfer,Current,2025-07-26 12:15:08,Revolut Bank UAB Vilnius Sucursala București,-19.0,114.46
670,Transfer,Current,2025-07-26 13:14:41,Revolut Bank UAB Vilnius Sucursala București,-31.0,83.46
671,Transfer,Current,2025-07-26 14:04:14,Revolut Bank UAB Vilnius Sucursala București,6.0,89.46
672,Card Payment,Current,2025-07-25 17:42:46,Tabac Xpress,-70.2,19.26
673,Transfer,Current,2025-07-26 19:56:45,Revolut Bank UAB Vilnius Sucursala București,-8.37,10.89
674,Card Payment,Current,2025-07-26 14:09:20,OMV,-4.89,6.0
675,Topup,Current,2025-07-27 15:25:06,Apple Pay top-up by *1781,60.0,66.0
676,Transfer,Current,2025-07-27 15:25:27,Revolut Bank UAB Vilnius Sucursala București,-60.0,6.0
677,Card Payment,Current,2025-07-26 19:02:03,Inmedio,-6.0,0.0
678,Topup,Current,2025-07-27 17:38:25,Apple Pay top-up by *1781,60.0,60.0
679,Transfer,Current,2025-07-27 17:38:48,Revolut Bank UAB Vilnius Sucursala București,-60.0,0.0
680,Transfer,Current,2025-07-29 23:27:53,Revolut Bank UAB Vilnius Sucursala București,35.0,35.0
681,Transfer,Current,2025-07-30 00:37:06,Revolut Bank UAB Vilnius Sucursala București,-30.0,5.0
682,Transfer,Current,2025-07-30 00:40:49,Revolut Bank UAB Vilnius Sucursala București,-5.0,0.0
683,Transfer,Current,2025-07-31 13:02:57,Revolut Bank UAB Vilnius Sucursala București,100.0,100.0
684,Transfer,Current,2025-07-31 15:58:34,To investment account,-97.0,3.0
685,Topup,Current,2025-08-02 13:45:22,Apple Pay top-up by *1781,60.0,63.0
686,Transfer,Current,2025-08-02 13:47:28,Revolut Bank UAB Vilnius Sucursala București,-32.0,31.0
687,Card Payment,Current,2025-08-03 00:40:00,LUKOIL,-24.0,7.0
688,Card Payment,Current,2025-08-04 17:07:21,Carrefour,-5.29,1.71
689,Transfer,Current,2025-08-07 21:07:44,Revolut Bank UAB Vilnius Sucursala București,14.5,16.21
690,Topup,Current,2025-08-08 03:46:29,Payment from STEFAN STEFAN CARADEANU,50.0,66.21
691,Transfer,Current,2025-08-08 14:22:11,Revolut Bank UAB Vilnius Sucursala București,1000.0,1066.21
692,Transfer,Current,2025-08-08 14:23:31,To investment account,-999.77,66.44
693,Card Payment,Current,2025-08-08 03:49:04,Untold,-60.0,6.44
694,Topup,Current,2025-08-09 15:17:05,Apple Pay top-up by *1781,66.32,72.76
695,Transfer,Current,2025-08-09 15:18:29,Revolut Bank UAB Vilnius Sucursala București,-8.0,64.76
696,Transfer,Current,2025-08-09 15:18:54,Revolut Bank UAB Vilnius Sucursala București,-40.0,24.76
697,Transfer,Current,2025-08-09 17:03:19,Revolut Bank UAB Vilnius Sucursala București,-24.76,0.0
698,Transfer,Current,2025-08-09 20:05:43,Revolut Bank UAB Vilnius Sucursala București,130.0,130.0
699,Card Payment,Current,2025-08-09 20:08:14,Untold,-130.0,0.0
700,Exchange,Current,2025-08-11 21:09:12,Exchanged to RON,1008.34,1008.34
701,Transfer,Current,2025-08-11 22:35:30,To Eftimie Patrick,-93.0,915.34
702,Card Payment,Current,2025-08-13 16:18:14,Curcubeului Market,-24.0,891.34
703,Transfer,Current,2025-08-14 13:28:21,Revolut Bank UAB Vilnius Sucursala București,100.0,991.34
704,Card Payment,Current,2025-08-13 16:04:17,eMAG,-791.12,200.22
705,Card Payment,Current,2025-08-13 16:13:35,Profi,-11.58,188.64
706,Transfer,Current,2025-08-14 18:49:50,Revolut Bank UAB Vilnius Sucursala București,-120.0,68.64
707,Transfer,Current,2025-08-15 20:39:50,Revolut Bank UAB Vilnius Sucursala București,20.0,88.64
708,Card Payment,Current,2025-08-15 20:39:54,Mega Image,-18.02,70.62
709,Card Payment,Current,2025-08-15 19:59:27,Curcubeului Market,-24.0,46.62
710,Transfer,Current,2025-08-16 21:38:28,Revolut Bank UAB,99.99,146.61
711,Transfer,Current,2025-08-16 21:38:46,Revolut Bank UAB Vilnius Sucursala București,-25.0,121.61
712,Transfer,Current,2025-08-16 21:38:51,Revolut Bank UAB Vilnius Sucursala București,-1.0,120.61
713,Transfer,Current,2025-08-16 22:42:26,Revolut Bank UAB Vilnius Sucursala București,10.0,130.61
714,Transfer,Current,2025-08-16 22:58:46,Revolut Bank UAB Vilnius Sucursala București,-24.0,106.61
715,Topup,Current,2025-08-18 15:17:52,Apple Pay top-up by *1781,100.0,206.61
716,Card Payment,Current,2025-08-18 15:27:32,Sakis Market,-35.67,170.94
717,Card Payment,Current,2025-08-18 15:29:32,Sakis Market,-18.35,152.59
718,Transfer,Current,2025-08-19 20:25:07,Revolut Bank UAB Vilnius Sucursala București,-50.0,102.59
719,Card Payment,Current,2025-08-18 21:45:52,Sotiralis Panagiotis,-20.32,82.27
720,Transfer,Current,2025-08-20 16:02:54,Revolut Bank UAB Vilnius Sucursala București,50.0,132.27
721,Card Payment,Current,2025-08-20 22:56:26,Rafail Tzortzakakis,-21.9,110.37
722,Transfer,Current,2025-08-23 20:05:13,Revolut Bank UAB Vilnius Sucursala București,-110.0,0.37
723,Topup,Current,2025-08-25 20:47:16,Apple Pay top-up by *1781,60.0,60.37
724,Transfer,Current,2025-08-25 20:47:48,Revolut Bank UAB Vilnius Sucursala București,-36.0,24.37
725,Transfer,Current,2025-08-26 01:08:02,Revolut Bank UAB Vilnius Sucursala București,38.0,62.37
726,Transfer,Current,2025-08-26 12:27:40,Revolut Bank UAB Vilnius Sucursala București,36.0,98.37
727,Transfer,Current,2025-08-26 13:27:59,Revolut Bank UAB Vilnius Sucursala București,-75.0,23.37
728,Card Payment,Current,2025-08-26 18:35:36,Catena,-3.01,20.36
729,Card Payment,Current,2025-08-26 13:43:43,Mega Image,-8.42,11.94
730,Card Payment,Current,2025-08-26 17:18:16,TSV,-7.6,4.34
731,Transfer,Current,2025-08-27 12:54:30,Revolut Bank UAB Vilnius Sucursala București,100.0,104.34
732,Card Payment,Current,2025-08-27 22:32:00,Mega Image,-100.0,4.34
733,Transfer,Current,2025-08-29 10:19:57,Revolut Bank UAB Vilnius Sucursala București,190.0,194.34
734,Transfer,Current,2025-08-29 20:13:20,Revolut Bank UAB Vilnius Sucursala București,-24.0,170.34
735,Card Payment,Current,2025-08-29 22:16:21,Profi,-17.49,152.85
736,Topup,Current,2025-08-30 21:49:48,Apple Pay top-up by *1781,60.0,212.85
737,Transfer,Current,2025-08-30 21:50:03,Revolut Bank UAB Vilnius Sucursala București,-120.0,92.85
738,Card Payment,Current,2025-08-30 23:34:30,Mega Image,-10.68,82.17
739,Card Payment,Current,2025-08-30 18:12:16,Mega Image,-5.09,77.08
740,Card Payment,Current,2025-08-30 13:55:14,Mega Image,-21.42,55.66
741,Card Payment,Current,2025-08-30 18:17:59,LUKOIL,-24.0,31.66
742,Card Payment,Current,2025-08-31 22:52:45,Profi,-11.29,20.37
743,Transfer,Current,2025-09-01 20:09:00,Revolut Bank UAB Vilnius Sucursala București,18.0,38.37
744,Transfer,Current,2025-09-03 22:25:30,Revolut Bank UAB Vilnius Sucursala București,10.0,48.37
745,Transfer,Current,2025-09-04 18:18:21,Revolut Bank UAB Vilnius Sucursala București,18.0,66.37
746,Card Payment,Current,2025-09-04 02:20:44,Tychi Ametist,-36.0,30.37
747,Transfer,Current,2025-09-04 23:35:15,Revolut Bank UAB Vilnius Sucursala București,13.0,43.37
748,Card Payment,Current,2025-09-04 18:24:15,Lidl,-9.24,34.13
749,Card Payment,Current,2025-09-04 23:33:31,Mega Image,-16.05,18.08
750,Card Payment,Current,2025-09-04 23:36:23,Mega Image,-5.88,12.2
751,Transfer,Current,2025-09-05 11:32:36,Revolut Bank UAB Vilnius Sucursala București,200.0,212.2
752,Transfer,Current,2025-09-05 11:37:49,To zaitun com srl,-150.0,62.2
753,Card Payment,Current,2025-09-05 21:55:34,Mega Image,-25.02,37.18
754,Card Payment,Current,2025-09-05 12:59:35,eMAG,-5.99,31.19
755,Topup,Current,2025-09-06 23:35:33,Apple Pay top-up by *1781,60.0,91.19
756,Transfer,Current,2025-09-06 23:36:06,Revolut Bank UAB Vilnius Sucursala București,-24.0,67.19
757,Transfer,Current,2025-09-07 14:41:20,Revolut Bank UAB Vilnius Sucursala București,100.0,167.19
758,Card Payment,Current,2025-09-06 09:23:11,Profi,-3.99,163.2
759,Transfer,Current,2025-09-07 22:28:22,Revolut Bank UAB Vilnius Sucursala București,4.0,167.2
760,Card Payment,Current,2025-09-06 09:57:01,Amparcat.ro,-11.9,155.3
761,Transfer,Current,2025-09-09 22:38:48,Revolut Bank UAB Vilnius Sucursala București,-38.0,117.3
762,Card Payment,Current,2025-09-10 15:00:23,Mega Image,-2.49,114.81
763,Card Payment,Current,2025-09-10 12:12:52,Lidl,-9.17,105.64
764,Card Payment,Current,2025-09-10 00:23:07,August Pronto,-7.99,97.65
765,Transfer,Current,2025-09-12 00:06:40,Revolut Bank UAB Vilnius Sucursala București,-8.0,89.65
766,Topup,Current,2025-09-12 17:54:15,Apple Pay top-up by *1781,60.0,149.65
767,Transfer,Current,2025-09-12 17:54:31,Revolut Bank UAB Vilnius Sucursala București,-30.0,119.65
768,Card Payment,Current,2025-09-12 01:24:12,Mega Image,-4.65,115.0
769,Card Payment,Current,2025-09-12 13:20:02,Mega Image,-42.67,72.33
770,Card Payment,Current,2025-09-12 00:17:23,Arabian Taste,-32.0,40.33
771,Transfer,Current,2025-09-13 15:52:25,Revolut Bank UAB Vilnius Sucursala București,30.0,70.33
772,Transfer,Current,2025-09-13 15:55:13,Revolut Bank UAB Vilnius Sucursala București,-25.0,45.33
773,Transfer,Current,2025-09-13 20:59:02,Revolut Bank UAB Vilnius Sucursala București,100.0,145.33
774,Transfer,Current,2025-09-14 02:26:05,Revolut Bank UAB Vilnius Sucursala București,-19.0,126.33
775,Card Payment,Current,2025-09-14 01:43:27,Tychi Ametist,-18.0,108.33
776,Card Payment,Current,2025-09-14 02:15:14,Apollo 111,-60.0,48.33
777,Card Payment,Current,2025-09-14 03:17:53,Apollo 111,-20.0,28.33
778,Card Payment,Current,2025-09-14 01:59:25,La Papa Hap,-24.0,4.33
779,Transfer,Current,2025-09-15 22:47:59,Revolut Bank UAB Vilnius Sucursala București,100.0,104.33
780,Transfer,Current,2025-09-15 23:03:58,Revolut Bank UAB Vilnius Sucursala București,-6.0,98.33
781,Transfer,Current,2025-09-15 23:50:21,Revolut Bank UAB Vilnius Sucursala București,-24.0,74.33
782,Transfer,Current,2025-09-16 00:57:26,Revolut Bank UAB Vilnius Sucursala București,-5.0,69.33
783,Transfer,Current,2025-09-16 00:59:12,Revolut Bank UAB Vilnius Sucursala București,5.0,74.33
784,Transfer,Current,2025-09-16 00:59:42,Revolut Bank UAB Vilnius Sucursala București,-5.0,69.33
785,Transfer,Current,2025-09-16 15:16:20,Revolut Bank UAB Vilnius Sucursala București,-5.0,64.33
786,Transfer,Current,2025-09-16 15:18:13,Revolut Bank UAB Vilnius Sucursala București,8.0,72.33
787,Card Payment,Current,2025-09-16 01:54:33,Mega Image,-4.19,68.14
788,Transfer,Current,2025-09-19 17:23:26,Revolut Bank UAB Vilnius Sucursala București,-10.0,58.14
789,Transfer,Current,2025-09-19 21:26:01,Revolut Bank UAB Vilnius Sucursala București,-7.0,51.14
790,Transfer,Current,2025-09-19 21:57:54,Revolut Bank UAB Vilnius Sucursala București,-7.0,44.14
791,Transfer,Current,2025-09-19 22:03:23,Revolut Bank UAB Vilnius Sucursala București,-10.0,34.14
792,Transfer,Current,2025-09-20 01:03:30,Revolut Bank UAB Vilnius Sucursala București,-19.0,15.14
793,Transfer,Current,2025-09-21 23:19:35,Revolut Bank UAB Vilnius Sucursala București,1.0,16.14
794,Card Payment,Current,2025-09-21 23:29:50,Nordsense,-7.0,9.14
795,Card Payment,Current,2025-09-22 21:36:39,Carrefour,-4.71,4.43
796,Transfer,Current,2025-09-24 23:39:38,Revolut Bank UAB Vilnius Sucursala București,-4.43,0.0
797,Transfer,Current,2025-09-25 00:26:31,Revolut Bank UAB Vilnius Sucursala București,18.0,18.0
798,Transfer,Current,2025-09-25 17:31:29,Revolut Bank UAB Vilnius Sucursala București,100.0,118.0
799,Card Payment,Current,2025-09-25 11:51:00,METRO,-8.6,109.4
800,Card Payment,Current,2025-09-26 22:02:41,Mega Image,-7.56,101.84
801,Transfer,Current,2025-09-27 22:11:33,Revolut Bank UAB Vilnius Sucursala București,-35.84,66.0
802,Card Payment,Current,2025-09-26 23:24:18,Krem Creations,-66.0,0.0
803,Transfer,Current,2025-09-29 17:47:26,Revolut Bank UAB Vilnius Sucursala București,21.0,21.0
804,Transfer,Current,2025-10-01 15:59:26,Revolut Bank UAB Vilnius Sucursala București,30.0,51.0
805,Exchange,Current,2025-10-01 21:52:19,Exchanged to RON,2193.69,2244.69
806,Card Payment,Current,2025-10-02 19:58:43,Metrorex,-5.0,2239.69
807,Transfer,Current,2025-10-04 12:40:24,Revolut Bank UAB Vilnius Sucursala București,5.37,2245.06
808,Topup,Current,2025-10-05 00:44:01,Apple Pay top-up by *1781,4200.0,6445.06
809,Transfer,Current,2025-10-05 15:52:22,To Mihai Muntean,-6400.0,45.06
810,Card Payment,Current,2025-10-04 12:40:24,Mega Image,-10.74,34.32
811,Topup,Current,2025-10-05 18:43:38,Apple Pay top-up by *1781,60.0,94.32
812,Transfer,Current,2025-10-05 18:44:00,Revolut Bank UAB Vilnius Sucursala București,-7.0,87.32
813,Transfer,Current,2025-10-05 18:51:24,Revolut Bank UAB Vilnius Sucursala București,1.0,88.32
814,Topup,Current,2025-10-08 20:36:15,Apple Pay top-up by *1781,100.0,188.32
815,Transfer,Current,2025-10-08 20:36:52,Revolut Bank UAB Vilnius Sucursala București,1.0,189.32
816,Card Payment,Current,2025-10-08 20:38:34,Stay Fit Gym,-189.0,0.32
817,Transfer,Current,2025-10-09 15:58:18,Revolut Bank UAB Vilnius Sucursala București,24.0,24.32
818,Transfer,Current,2025-10-09 20:11:56,Revolut Bank UAB Vilnius Sucursala București,100.0,124.32
819,Transfer,Current,2025-10-11 03:40:08,Revolut Bank UAB Vilnius Sucursala București,35.0,159.32
820,Transfer,Current,2025-10-11 03:48:16,Revolut Bank UAB Vilnius Sucursala București,-4.91,154.41
821,Card Payment,Current,2025-10-10 22:49:46,Mega Image,-34.41,120.0
822,Card Payment,Current,2025-10-10 11:37:00,Trading M2b,-24.0,96.0
823,Card Payment,Current,2025-10-11 03:47:18,Alex Fresh Food,-34.0,62.0
824,Topup,Current,2025-10-11 20:47:44,Apple Pay top-up by *1781,60.0,122.0
825,Transfer,Current,2025-10-11 20:47:56,Revolut Bank UAB Vilnius Sucursala București,-35.0,87.0
826,Card Payment,Current,2025-10-11 01:03:52,Apollo 111,-19.0,68.0
827,Card Payment,Current,2025-10-11 00:42:02,Apollo 111,-19.0,49.0
828,Transfer,Current,2025-10-12 12:34:01,Revolut Bank UAB Vilnius Sucursala București,-16.0,33.0
829,Card Payment,Current,2025-10-12 11:46:58,Carrefour,-6.59,26.41
830,Card Payment,Current,2025-10-11 02:53:10,Eurostil Market,-24.0,2.41
831,Transfer,Current,2025-10-17 22:39:54,Revolut Bank UAB Vilnius Sucursala București,56.0,58.41
832,Transfer,Current,2025-10-18 12:35:22,Revolut Bank UAB Vilnius Sucursala București,-24.0,34.41
833,Card Payment,Current,2025-10-18 14:36:35,Issa Supermarket,-6.59,27.82
834,Transfer,Current,2025-10-19 17:02:25,Revolut Bank UAB Vilnius Sucursala București,100.0,127.82
835,Card Payment,Current,2025-10-20 07:58:49,PENNY,-24.0,103.82
836,Card Payment,Current,2025-10-21 18:05:52,Curcubeului Market,-24.0,79.82
837,Transfer,Current,2025-10-22 08:28:29,Revolut Bank UAB Vilnius Sucursala București,-15.0,64.82
838,Card Payment,Current,2025-10-22 18:16:11,Alecia StilFrutti,-24.0,40.82
839,Transfer,Current,2025-10-23 22:13:30,Revolut Bank UAB Vilnius Sucursala București,-6.0,34.82
840,Transfer,Current,2025-10-23 22:44:17,Revolut Bank UAB Vilnius Sucursala București,-25.0,9.82
841,Card Payment,Current,2025-10-23 15:09:43,Fast Vending Solution,-6.0,3.82
842,Card Payment,Current,2025-10-23 21:25:15,STB Bucuresti,-3.0,0.82
843,Transfer,Current,2025-10-25 16:12:55,Revolut Bank UAB Vilnius Sucursala București,100.0,100.82
844,Transfer,Current,2025-10-25 16:13:42,Revolut Bank UAB Vilnius Sucursala București,100.0,200.82
845,Transfer,Current,2025-10-25 17:02:05,Revolut Bank UAB Vilnius Sucursala București,10.0,210.82
846,Transfer,Current,2025-10-25 19:48:20,Revolut Bank UAB Vilnius Sucursala București,98.0,308.82
847,Transfer,Current,2025-10-25 23:31:49,Revolut Bank UAB Vilnius Sucursala București,-30.0,278.82
848,Transfer,Current,2025-10-26 04:20:38,Revolut Bank UAB Vilnius Sucursala București,-7.0,271.82
849,Card Payment,Current,2025-10-26 02:45:52,Limoncello Club,-25.0,246.82
850,Card Payment,Current,2025-10-26 04:24:15,Arabian Taste,-32.0,214.82
851,Card Payment,Current,2025-10-26 19:53:13,Mega Image,-21.27,193.55
852,Card Payment,Current,2025-10-26 02:15:05,Beluga Music & Cocktails,-40.0,153.55
853,Card Payment,Current,2025-10-26 15:14:15,Metrorex,-5.0,148.55
854,Card Payment,Current,2025-10-27 19:20:44,MOL,-23.99,124.56
855,Card Payment,Current,2025-10-27 19:55:40,PENNY,-3.65,120.91
856,Card Payment,Current,2025-10-29 11:06:29,Standard Food,-9.18,111.73
857,Card Payment,Current,2025-10-29 13:12:42,Fast Vending Solution,-6.0,105.73
858,Transfer,Current,2025-10-30 22:14:36,Revolut Bank UAB Vilnius Sucursala București,100.0,205.73
859,Transfer,Current,2025-10-30 22:19:28,Revolut Bank UAB Vilnius Sucursala București,100.0,305.73
860,Card Payment,Current,2025-10-29 10:46:08,STB Bucuresti,-3.0,302.73
861,Card Payment,Current,2025-10-30 12:23:27,Carrefour,-3.69,299.04
862,Transfer,Current,2025-10-31 21:48:06,Revolut Bank UAB Vilnius Sucursala București,-41.0,258.04
863,Transfer,Current,2025-11-01 02:23:53,Revolut Bank UAB Vilnius Sucursala București,-20.0,238.04
864,Transfer,Current,2025-11-01 15:20:37,Revolut Bank UAB Vilnius Sucursala București,-4.0,234.04
865,Transfer,Current,2025-11-02 01:01:40,Revolut Bank UAB Vilnius Sucursala București,15.0,249.04
866,Transfer,Current,2025-11-02 01:01:42,Revolut Bank UAB Vilnius Sucursala București,15.0,264.04
867,Transfer,Current,2025-11-02 01:02:09,Revolut Bank UAB Vilnius Sucursala București,15.0,279.04
868,Card Payment,Current,2025-11-01 01:28:53,Smart Vending Solutions,-6.0,273.04
869,Card Payment,Current,2025-11-02 00:22:48,MOL,-26.18,246.86
870,Card Payment,Current,2025-11-02 01:12:14,OMV,-50.41,196.45
871,Transfer,Current,2025-11-03 12:35:29,Revolut Bank UAB Vilnius Sucursala București,-22.0,174.45
872,Card Payment,Current,2025-10-31 16:02:59,STB Bucuresti,-3.0,171.45
873,Transfer,Current,2025-11-04 11:02:17,Revolut Bank UAB Vilnius Sucursala București,-6.5,164.95
874,Transfer,Current,2025-11-05 12:56:15,Revolut Bank UAB Vilnius Sucursala București,4.01,168.96
875,Transfer,Current,2025-11-07 14:20:27,Revolut Bank UAB Vilnius Sucursala București,60.0,228.96
876,Transfer,Current,2025-11-07 19:02:20,Revolut Bank UAB Vilnius Sucursala București,-24.0,204.96
877,Card Payment,Current,2025-11-07 14:25:39,Petrom,-200.23,4.73
878,Transfer,Current,2025-11-08 15:03:43,Revolut Bank UAB Vilnius Sucursala București,-4.0,0.73
879,Transfer,Current,2025-11-08 23:52:47,Revolut Bank UAB Vilnius Sucursala București,9.0,9.73
880,Transfer,Current,2025-11-10 14:54:32,Revolut Bank UAB Vilnius Sucursala București,-9.0,0.73
881,Transfer,Current,2025-11-10 16:14:43,Revolut Bank UAB Vilnius Sucursala București,40.0,40.73
882,Transfer,Current,2025-11-10 20:32:32,Revolut Bank UAB Vilnius Sucursala București,0.27,41.0
883,Topup,Current,2025-11-10 22:09:54,Apple Pay top-up by *6660,200.0,241.0
884,Card Payment,Current,2025-11-10 16:15:19,Trading M2b,-7.0,234.0
885,Card Payment,Current,2025-11-10 20:45:18,Mega Image,-24.0,210.0
886,Card Payment,Current,2025-11-11 06:12:33,Stay Fit Gym,-189.0,21.0
887,Card Payment,Current,2025-11-11 12:24:20,Trading M2b,-10.0,11.0
888,Card Payment,Current,2025-11-10 19:53:44,Metrorex,-10.0,1.0
889,Transfer,Current,2025-11-12 09:55:29,Revolut Bank UAB Vilnius Sucursala București,8.0,9.0
890,Transfer,Current,2025-11-12 09:55:33,Revolut Bank UAB Vilnius Sucursala București,2.0,11.0
891,Card Payment,Current,2025-11-12 10:35:16,Fast Vending Solution,-6.0,5.0
892,Transfer,Current,2025-11-13 17:42:51,Revolut Bank UAB Vilnius Sucursala București,-5.0,0.0
893,Transfer,Current,2025-11-15 18:00:52,Revolut Bank UAB Vilnius Sucursala București,100.0,100.0
894,Card Payment,Current,2025-11-16 10:35:04,Gloria Jean's Coffees,-21.0,79.0
895,Transfer,Current,2025-11-17 12:26:57,Revolut Bank UAB Vilnius Sucursala București,-2.0,77.0
896,Card Payment,Current,2025-11-16 13:16:47,Carul Cu Kustos,-20.0,57.0
897,Card Payment,Current,2025-11-17 13:30:50,Trading M2b,-7.0,50.0
898,Card Payment,Current,2025-11-17 08:19:22,Trei Amigos Together Srl,-8.0,42.0
899,Card Payment,Current,2025-11-17 16:05:23,DMD Coffee & Vending,-4.0,38.0
900,Card Payment,Current,2025-11-17 16:03:10,DMD Coffee & Vending,-4.0,34.0
901,Transfer,Current,2025-11-18 09:10:14,Revolut Bank UAB Vilnius Sucursala București,11.0,45.0
902,Transfer,Current,2025-11-18 09:10:20,Revolut Bank UAB Vilnius Sucursala București,2.0,47.0
903,Card Payment,Current,2025-11-17 12:40:10,Universitatea POLITEHNICA din București,-21.5,25.5
904,Card Payment,Current,2025-11-18 19:30:57,Lidl,-5.38,20.12
905,Card Payment,Current,2025-11-18 21:44:57,Carrefour,-4.09,16.03
906,Card Payment,Current,2025-11-19 13:07:57,Nova prompt,-3.5,12.53
907,Transfer,Current,2025-11-20 13:43:57,Revolut Bank UAB Vilnius Sucursala București,2.0,14.53
908,Transfer,Current,2025-11-20 16:36:02,Revolut Bank UAB Vilnius Sucursala București,18.0,32.53
909,Card Payment,Current,2025-11-20 16:07:05,DMD Coffee & Vending,-3.0,29.53
910,Transfer,Current,2025-11-21 19:18:49,Revolut Bank UAB Vilnius Sucursala București,100.0,129.53
911,Card Payment,Current,2025-11-21 21:15:54,Mega Image,-17.49,112.04
912,Card Payment,Current,2025-11-21 21:19:27,Mega Image,-10.98,101.06
913,Card Payment,Current,2025-11-21 20:28:56,Carrefour,-3.69,97.37
914,Card Payment,Current,2025-11-22 10:00:23,AIO Supermarket,-20.5,76.87
915,Card Payment,Current,2025-11-22 10:08:05,Gloria Jean's Coffees,-23.5,53.37
916,Transfer,Current,2025-11-23 19:42:26,Revolut Bank UAB Vilnius Sucursala București,-8.0,45.37
917,Card Payment,Current,2025-11-23 00:11:02,Mega Image,-24.0,21.37
918,Transfer,Current,2025-11-24 10:23:59,Revolut Bank UAB Vilnius Sucursala București,4.0,25.37
919,Transfer,Current,2025-11-24 15:02:07,Revolut Bank UAB Vilnius Sucursala București,-4.0,21.37
920,Transfer,Current,2025-11-24 15:03:38,Revolut Bank UAB Vilnius Sucursala București,4.0,25.37
921,Card Payment,Current,2025-11-24 08:22:05,DMD Coffee & Vending,-3.0,22.37
922,Card Payment,Current,2025-11-24 21:31:17,Annabella,-20.0,2.37
923,Transfer,Current,2025-11-25 21:54:57,Revolut Bank UAB Vilnius Sucursala București,28.0,30.37
924,Transfer,Current,2025-11-25 21:56:15,Revolut Bank UAB Vilnius Sucursala București,28.0,58.37
925,Transfer,Current,2025-11-25 22:33:29,Revolut Bank UAB Vilnius Sucursala București,28.0,86.37
926,Card Payment,Current,2025-11-26 00:02:06,La Mia Musica Restaurant,-20.0,66.37
927,Card Payment,Current,2025-11-26 00:37:56,La Mia Musica Restaurant,-20.0,46.37
928,Card Payment,Current,2025-11-26 01:24:24,La Mia Musica Restaurant,-20.0,26.37
929,Transfer,Current,2025-11-27 16:44:05,Revolut Bank UAB Vilnius Sucursala București,8.0,34.37
930,Transfer,Current,2025-11-28 11:16:55,Revolut Bank UAB Vilnius Sucursala București,56.0,90.37
931,Card Payment,Current,2025-11-28 11:09:43,Alecia StilFrutti,-4.5,85.87
932,Card Payment,Current,2025-11-28 11:13:34,Alecia StilFrutti,-24.0,61.87
933,Card Payment,Current,2025-11-28 11:44:59,Mega Image,-24.0,37.87
934,Topup,Current,2025-11-29 22:08:20,Apple Pay top-up by *6660,100.0,137.87
935,Transfer,Current,2025-11-30 20:42:57,Revolut Bank UAB Vilnius Sucursala București,9.0,146.87
936,Card Payment,Current,2025-11-30 21:40:08,Mega Image,-6.39,140.48
937,Card Payment,Current,2025-11-30 17:15:46,Mega Image,-5.29,135.19
938,Transfer,Current,2025-11-29 22:12:44,International Transfer to Universitatea Nationala de Stiinte si Tehnologie Politehnica Bucuresti,-100.0,35.19
939,Transfer,Current,2025-12-02 19:27:55,Revolut Bank UAB Vilnius Sucursala București,100.0,135.19
940,Card Payment,Current,2025-11-28 11:51:35,Sky 24,-12.0,123.19
941,Card Payment,Current,2025-12-03 10:23:54,Bufallo Top Star Srl,-5.0,118.19
942,Card Payment,Current,2025-12-03 13:32:42,Nova prompt,-6.0,112.19
943,Card Payment,Current,2025-12-03 13:33:12,Nova prompt,-3.5,108.69
944,Transfer,Current,2025-12-04 16:14:43,Revolut Bank UAB Vilnius Sucursala București,100.0,208.69
